Module name,Module size,Number of CN,Number of RN,Number of axioms
AnteriorEthmoidalNerve,6134,5813,316,30232
Mesentery,93,52,36,252
SerumAntinuclearAntibodyTest,6215,5884,326,30552
Incising,12,7,0,21
SkinOfGreatToe,6134,5813,316,30232
Osmium,34,20,10,79
LithiumCarbonate,47,29,14,117
IliacRegion,58,38,16,157
CornealMesothelium,6139,5818,316,30252
SignOfArmOrLeg,142,85,52,411
CroupyCough,6144,5823,316,30271
Fluocinonide,74,33,36,174
HeartWall,6134,5813,316,30232
Ritodrine,41,23,14,95
Thromboxane,33,19,10,75
PeriumbilicalPain,6231,5910,316,30634
Moxonidine,41,23,14,95
OrnithodorosPappilipes,125,80,40,381
powered,16,12,0,36
HypereosinophilicSyndrome,6177,5844,328,30380
LeschNyhanSyndrome,6672,6329,338,32481
MetaplasticLesion,131,76,50,417
BNFSection6_2_2,60,31,24,150
Yshape,19,15,0,45
BNFSection6_2_1,60,31,24,150
NebivololHydrochloride,42,24,14,98
UlnoCarpalJoint,6134,5813,316,30232
NAMEDMetabolicPathologicalProcess,41,24,12,101
Ornithonyssus,122,77,40,370
OesophagealArtery,6134,5813,316,30232
OpticNerveExamination,6275,5954,316,30807
AviationMedicine,16,12,0,36
Rosidae,79,48,26,207
RightLobeOfThyroidGland,6134,5813,316,30232
Thirst,146,89,52,402
CribriformPlate,6134,5813,316,30232
Brachydactyly,92,51,36,260
ForwardFlow,51,22,24,121
StearylAlcohol,39,21,14,88
ArteryOfFinger,6134,5813,316,30232
TobaccoPipe,32,18,10,73
PatientRelative,95,60,30,252
BoneAutograft,114,59,50,304
Quadriplegia,6172,5837,330,30356
Mometasone,74,33,36,174
AsYetUnknownDiagnosis,35,17,14,77
Foot,6134,5813,316,30232
Incision,94,43,46,250
QTProlongation,6245,5902,338,30641
DistalPartOfUlna,6134,5813,316,30232
ImmunologicalSensitisationProcess,54,27,22,128
Digitoxin,74,33,36,174
Acetophenazine,41,23,14,95
MillWorkerRole,11,7,0,20
SigmoidToRectum,6134,5813,316,30232
hyperResonance,45,20,20,110
MorganellaMorganii,238,149,84,714
Trisomy10Syndrome,47,26,16,123
TenthIntercostalSpace,6134,5813,316,30232
SacralVertebra,6134,5813,316,30232
MetastaticCalcification,47,26,16,123
cachectic,15,11,0,33
SerumKetoneConcentrationTest,6233,5900,328,30619
PortionOfBaseOfSkull,6134,5813,316,30232
PituitaryTumour,6173,5850,318,30386
CardiacValvulitis,226,139,82,712
LongHeadOfBicepsBrachialis,6139,5818,316,30250
RightEye,6134,5813,316,30232
Pubes,6134,5813,316,30232
HaemaphysalisSpinigera,125,80,40,381
ImagingDevice,40,21,14,90
Lunate,6134,5813,316,30232
MaleReproductiveExamination,112,57,50,291
ErythroidCell,6134,5813,316,30232
DinoprostoneAsDrug,51,32,14,127
Chamomile,58,32,22,138
SkinAppearanceState,16,12,0,36
Age,12,8,0,24
InferiorPhrenicVein,6135,5814,316,30236
GastroesophagealJunction,6134,5813,316,30232
genuineEquivocalInvestigationResultStatus,14,10,0,29
Shampoo,56,30,22,132
StateChangeProcess,12,7,0,21
ComponentOfFemalePerineum,6134,5813,316,30232
LinearPhysicalStructure,63,28,30,154
FoamAerosolBasicDrugForm,63,28,30,150
MupirocinCalcium,42,24,14,98
Promegaloblast,6137,5816,316,30241
DoubleOutletLeftVentricle,6137,5816,316,30245
Loosening,13,8,0,24
IxodesDammini,125,80,40,381
Groin,6134,5813,316,30232
reducedMobility,46,19,22,107
PrednisoloneSodiumPhosphate,78,37,36,189
SacralMeningealSpace,6134,5813,316,30232
MedialTricuspidPapillaryMuscle,6134,5813,316,30232
BloodGlucoseTestResult,6257,5920,332,30705
Galactorrhoea,6209,5876,328,30518
OmohyoidMuscle,6134,5813,316,30232
OccupationRole,10,6,0,17
MechanicalPropulsion,13,8,0,24
UricAcid,43,25,14,103
TendonOfTibialisAnterior,6134,5813,316,30232
SuperficialArteryOfUpperExtremity,6134,5813,316,30232
CromoglycateChemicalAsDrug,72,31,36,167
SurgicalRetracting,34,19,10,75
CiliaryMuscle,6134,5813,316,30232
IschaemicLesion,6283,5950,328,30838
Impairment,11,6,0,18
S3Dermatome,6134,5813,316,30232
PotassiumBromide,90,45,40,231
NutrientAbsorption,44,15,24,93
MuscleOfNeck,6134,5813,316,30232
DopamineAsNeurotransmitter,41,23,14,95
ComponentOfCranialNerve,6134,5813,316,30232
CoccygealGanglion,6134,5813,316,30232
UpperCanine,6134,5813,316,30232
OralMeatus,6134,5813,316,30232
SystemicArteroile,6234,5903,326,30611
DoubleOutletHeartVentricle,6137,5816,316,30245
Strongylidae,123,78,40,374
AlphaTocopherylAcetate,32,18,10,72
PlexusHaemorrhoidalis,6134,5813,316,30232
AmmoniaAsDrug,42,24,14,99
InferiorPharyngealConstrictorMuscle,6134,5813,316,30232
CisaprideMonohydrate,42,24,14,98
LowerIncisor,6134,5813,316,30232
Uroporphyrin,31,17,10,69
BuclizineHydrochloride,42,24,14,98
TricuspidIncompetence,6263,5930,328,30756
PotassiumBicarbonate,88,43,40,226
OrthopaedicSurgicalRole,50,21,24,117
LowBloodOxygenConcentration,6186,5857,324,30426
Air,122,57,60,320
SurfaceOfLeftThyroidLobe,6134,5813,316,30232
TracheostomyProcess,6182,5859,318,30416
Ranula,6134,5813,316,30232
SurgicalSituation,12,8,0,23
AtrialBeat,6217,5894,318,30565
NonNormallySmallNoseSymptom,6231,5900,326,30597
BNFChapter5_4Section,66,37,24,180
DistalHeadOfRadius,6134,5813,316,30232
pink,17,13,0,39
OnsetOfPathology,49,22,22,117
Turbinate,6134,5813,316,30232
LiquidParaffin,88,43,40,222
TunicaAlbugineaOvarii,6134,5813,316,30232
BeeswaxWhite,40,22,14,91
RedGreenColourBlindness,6136,5815,316,30238
LocalAnaesthetic,124,67,52,332
MalePelvicCavity,6134,5813,316,30232
BloodVesselOfFoot,6134,5813,316,30232
NumericQuantity,14,10,0,30
treatmentRefractory,16,12,0,36
suppositoryDrugForm,18,14,0,42
AmylobarbitoneSodium,75,34,36,177
MajorSalivaryGland,6134,5813,316,30232
BayOil,41,23,14,95
ConativeProcess,145,88,52,400
RadiatingChestPain,6243,5922,316,30681
OnychiaMaligna,180,101,74,564
SubscapularFossa,6134,5813,316,30232
CommunicationProcess,32,11,16,65
PulmonaryAcidosis,6243,5908,330,30642
Prednisolone,77,36,36,186
DirectionState,14,10,0,30
Radioluminescing,14,9,0,27
GreatOccipitalNerve,6135,5814,316,30237
AtrioventricularReentrantTachycardia,6270,5939,326,30773
NaproxenSodium,78,37,36,189
TrunkRoad,33,19,10,76
TemporalFascia,6135,5814,316,30236
FoetalCardiovascularSystem,6134,5813,316,30232
PustularPsoriasis,6174,5849,320,30382
PerineuralRoute,6244,5923,316,30676
Zinc,43,25,14,102
PectineusMuscle,6134,5813,316,30232
Crest,47,29,14,121
ImageRecordingMedium,43,24,14,100
DiamorphineHydrochloride,77,36,36,185
VitaminB12DeficiencyState,138,79,54,389
perYear,11,7,0,20
ErythromycinLactobionate,75,34,36,177
CerebralArteritis,6263,5942,316,30757
lessThan50Percent,18,14,0,41
RheumaticPulmonaryValveStenosisWithRegurgitation,6348,6015,328,31092
SemicircularCanal,122,71,46,347
ChronicRhinitis,6280,5957,318,30819
MilrinoneLactate,59,32,22,144
Spermatogenesis,6145,5824,316,30281
Plug,43,24,14,101
Chromaffinoma,6233,5906,322,30622
DiethylamineSalicylate,79,38,36,194
CervicalPlexus,6135,5814,316,30235
Lymphoblast,6136,5815,316,30238
DevelopmentalStatusState,15,11,0,33
Plum,59,33,22,141
VestibularOrgan,6134,5813,316,30232
Sinus,47,29,14,121
Disc,47,29,14,121
jerkyMotion,15,11,0,33
atLeastWellSpecified,11,7,0,20
BacilleCalmetteGuerin,110,65,40,303
InternalOrifice,90,51,34,247
LeukotrieneC4,34,20,10,78
HepaticInjury,6161,5840,316,30345
Iodine,39,21,14,89
Facet,91,50,36,246
VaginalDischargeSymptom,6155,5834,316,30323
ArticularProcess,6134,5813,316,30232
colloidTumour,18,14,0,42
MenstrualBloodLoss,6211,5884,322,30546
SepticCondition,108,57,46,294
Carnitine,31,17,10,69
LateralPyramidalTract,6138,5817,316,30248
chemicallyUnavailable,16,12,0,36
PapaverineHydrochloride,42,24,14,98
Fasciculus,47,29,14,121
TamponBasicDrugForm,61,26,30,143
ParietalBone,6134,5813,316,30232
GITractFromEsophagusToDuodenum,6134,5813,316,30232
ArticularProcessOfSacralVertebra,6134,5813,316,30232
ThiazideChemicalAsDrug,72,31,36,167
LoweredSerumSodiumConcentration,6209,5876,328,30509
unchangedLevel,38,15,18,86
ProximalSurfaceOfTooth,6167,5844,318,30380
MushroomWorkerRole,11,7,0,20
NonNormallySmallNippleSymptom,272,179,88,812
LeukotrieneD4,34,20,10,78
HapinessOrSadness,146,89,52,403
PrimaryPlexus,6135,5814,316,30235
Propylthiouracil,41,23,14,95
Penicillamine,41,23,14,95
Swallowing,6137,5816,316,30245
CalciumLevofolinate,93,48,40,241
TestosteroneEster,84,43,36,213
ConjuntivalSmarting,6244,5921,318,30680
HeadOfTalus,6134,5813,316,30232
effective,15,11,0,33
SuperficialDorsalVeinOfPenis,6134,5813,316,30232
DamusStanselKayeMethod,33,18,10,71
GastroepiploicVein,6134,5813,316,30232
PostprandialBloodSample,6167,5836,326,30335
Terodiline,41,23,14,95
BorreliaVincentii,239,150,84,718
TendonOfTibialisPosterior,6134,5813,316,30232
VentricularDepolarisation,6149,5828,316,30294
LeukotrieneA4,34,20,10,78
EbsteinsCongenitallyDisplacedTricuspidValve,6274,5941,328,30803
SensorySystemComponent,6134,5813,316,30232
LipoproteinDisorder,42,25,12,104
AmoxycillinSodium,76,35,36,180
Protozoa,119,74,40,362
Necklace,32,18,10,73
Carnivora,83,52,26,220
Ethinyloestradiol,86,45,36,220
WheezeSymptom,6259,5938,316,30739
Cholecalciferol,63,26,32,144
PartialThicknessSkinGraft,6172,5847,320,30371
Sulphatidase,78,41,32,200
HurlerSyndrome,6571,6226,340,32062
PlatysmaMuscle,6134,5813,316,30232
DeliveryOfAmnion,303,190,108,924
ProximalPhalanxOfToe,6134,5813,316,30232
ProteinDeposition,54,25,24,128
PurkinjeFibres,6134,5813,316,30232
IntracranialFornix,6134,5813,316,30232
Flupentixol,73,32,36,172
LeukotrieneB4,34,20,10,78
SegmentOfGreatCardiacVein,6134,5813,316,30232
FoetusInTransversePresentation,331,220,106,1082
Allergen,144,85,54,432
ComponentOfInternalAnatomicalStructure,46,22,20,107
Shyness,147,90,52,406
Almasilate,41,23,14,95
Urolithiasis,6149,5828,316,30293
OphthalmoplegicMigraine,6731,6384,342,32660
THelperLymphocyte,6144,5823,316,30268
BifurcationOfIliacArtery,6135,5814,316,30239
Sebum,72,36,32,170
SleepDisorder,176,115,56,519
TheophyllineChemical,60,23,32,134
Crenarcheota,74,43,26,192
WillingnessState,14,10,0,30
InfectiveHepatitisUntilLiverFunctionReturnsToNormal,6136,5815,316,30239
Myocyte,6134,5813,316,30232
AldesleukinAsDrug,142,75,62,379
DeepVein,6134,5813,316,30232
DataRecordingProcess,12,7,0,21
DiclofenacSodium,78,37,36,189
DemeclocyclineHydrochloride,75,34,36,177
Athetosis,6135,5814,316,30236
RadioopaqueContrastMedium,77,38,34,193
Dobsonia,85,54,26,226
BackPainSymptom,6231,5910,316,30634
SleepApnoeaSyndrome,6304,5973,326,30891
FamilyHistory,10,6,0,17
LesserSaphenousVein,6134,5813,316,30232
ModerateSeverity,47,20,22,111
MucosalHypertrophy,6264,5931,328,30731
PirbuterolSulphate,42,24,14,98
NocturnalWakefulness,193,126,62,571
HyalommaVariegatum,125,80,40,381
ThenarFascia,6135,5814,316,30235
VentricularSeptalDefect,167,108,54,510
Ankylosis,6139,5818,316,30252
BodyStructureByAbstractStatus,32,18,10,74
ConcentrationOfUrineSolute,6159,5836,318,30328
PatientGeneticRelativeRole,11,7,0,20
ArteryOfForearm,6134,5813,316,30232
ScalenusMediusMuscle,6135,5814,316,30235
CrampOfSkeletalMuscle,6368,6041,322,31185
IncreasedMenstrualBloodLoss,6228,5897,326,30606
IncoherentReasoningProcess,6143,5820,318,30262
Releasing,13,8,0,24
FacialWeakness,6240,5911,324,30649
HeadOfMetatarsal,6134,5813,316,30232
ErosionLesion,157,92,60,491
VascularRole,11,7,0,20
FailureOfEjaculation,6267,5934,328,30772
Oligomenorrhoea,6254,5921,328,30717
UntreatedViralSkinLesion,6181,5856,320,30407
ProstheticCompositeVascularValvularGraft,6163,5840,318,30341
Mucopolysaccharidase,75,38,32,190
CetylAlcohol,39,21,14,88
Phaeochromocytoma,6233,5906,322,30622
Irradiation,13,8,0,24
BulbarFasciaOfEyeball,6134,5813,316,30232
SerumCobalaminConcentration,6161,5838,318,30335
HeartAllograft,6177,5852,320,30390
LongTermMemorisingProcess,6141,5820,316,30259
Arm,6134,5813,316,30232
SolubleInsulin,6160,5839,316,30333
cup,11,7,0,20
MetacarpophalangealLigament,6137,5816,316,30242
EmbryoImplantation,84,41,38,216
NAMEDEponymousMethod,32,17,10,68
pleasantOdour,15,11,0,33
TeresMajorMuscle,6134,5813,316,30232
AttritionOfTooth,6136,5815,316,30239
Gnetales,78,47,26,204
InsulinZincCrystalline,6161,5840,316,30336
MajorDepression,239,156,78,728
Rhinorrhoea,6155,5834,316,30323
SugarCaneFibre,89,44,40,225
Repression,147,90,52,406
HeadacheCharacter,6242,5919,318,30675
LingualPapilla,6134,5813,316,30232
Babyhood,14,10,0,29
MRIScanner,59,32,22,144
SkinAsOrgan,6134,5813,316,30232
CervicalCordMeninges,6134,5813,316,30232
VestibularLabyrinth,6134,5813,316,30232
ImpairedCerebrovascularCirulation,6165,5838,322,30349
LabialMarginOfTooth,42,26,12,105
Vespoidea,81,50,26,216
PedicleOfLumbarVertebra,6134,5813,316,30232
FetalStatus,73,40,28,197
Ass,86,55,26,229
BNFChapter2_2Section,66,37,24,180
Mustine,74,33,36,174
ActiveGastricUlceration,6172,5849,318,30384
verySoon,18,14,0,42
ClinicalSpecialityState,14,10,0,30
IntraCranialBodyStructure,6134,5813,316,30232
ContrastMediumRadiographicProcedure,137,70,62,354
ClitoralPrepuce,6134,5813,316,30232
ColdForearmSymptom,6171,5842,324,30363
SimpleComplexSelector,12,8,0,23
FibromuscularHyperplasiaProcess,136,75,56,381
LeftCommonCarotidArtery,6134,5813,316,30232
BandingDevice,62,31,26,154
AmblyommaAmericanum,125,80,40,381
IntestinalPain,6231,5910,316,30634
ForeignBodyInUrethraSymptom,6165,5844,316,30354
ElectricalCatheter,109,58,46,297
LymphOrBloodVessel,47,29,14,121
SymptomRole,12,8,0,23
ComponentOfWrist,6134,5813,316,30232
EpiphysealCartilageOfFibula,6134,5813,316,30232
BNFChapter13_8Section,60,31,24,150
BranchOfGlossopharyngealNerve,6134,5813,316,30232
MalignantGenitalTractNeoplasia,168,101,62,530
CalfMuscleWastingLesion,6175,5852,318,30392
DrugExcreting,15,10,0,30
MetoprololFumarate,42,24,14,98
CadexomerIodine,41,23,14,95
Relapse,11,6,0,18
PosteriorBodyWall,104,53,46,270
CaffeineHydrate,42,24,14,98
MuscleOfBack,6134,5813,316,30232
InsertionPoint,6136,5815,316,30239
Washing,13,8,0,25
Ganglion,6134,5813,316,30232
posterior360Degree,16,12,0,36
NucleusCaudatus,6134,5813,316,30232
CardiacDiseaseProcess,6134,5813,316,30232
SpecificImmunoglobulin,48,27,16,119
BNFSection11_4_2,60,31,24,150
BNFSection11_4_1,60,31,24,150
Holmium,34,20,10,79
SickSinusSyndrome,6429,6092,332,31440
Ermine,87,56,26,232
OlfactoryCell,6134,5813,316,30232
PentazocineLactate,88,45,38,225
Oxamniquine,41,23,14,95
BeeSting,180,115,60,575
DietaryFatIntake,105,52,48,270
twinDonor,16,12,0,36
LimbusOfFossaOvalis,6134,5813,316,30232
Amylmetacresol,41,23,14,95
BodyRotatingSensation,6135,5814,316,30235
Eformoterol,41,23,14,95
LocalInflammation,47,26,16,123
Melanoma,6235,5908,322,30629
ClimactericSyndrome,6669,6324,340,32389
PosteroLateralRoute,86,41,40,217
Strongylus,124,79,40,377
DisorderOfConsciousness,172,111,56,503
NeckOfRib,6134,5813,316,30232
Transferring,14,9,0,28
Cephalosporin,42,24,14,98
SynovialHandJoint,6134,5813,316,30232
BodyOfFornix,6135,5814,316,30235
SymptomOfInfluenza,6310,5977,328,30934
Hyperpermeability,66,33,28,171
CircumflexHumeralArtery,6134,5813,316,30232
RespiratoryTractComponent,6143,5822,316,30274
SmoothMuscleSpasmSymptom,6239,5916,318,30656
DigitalNerveSupplyingPalmarAspectOfRadialBorderOfIndexFinger,6134,5813,316,30232
AdrenalPathology,6134,5813,316,30232
stickDrugForm,17,13,0,39
ProximalInterphalangealJoint,6134,5813,316,30232
UnambiguousGenitalia,135,78,52,379
NerveToLateralPterygoid,6134,5813,316,30232
AbdominalBurningPain,6244,5921,318,30680
ProteinDegradation,53,24,24,127
TunicaMedia,58,32,22,138
LowerLeftColicVein,6134,5813,316,30232
Measles,6237,5902,330,30625
SeptumOfSpinalCord,6134,5813,316,30232
QRSInterval,6233,5894,334,30599
BNFChapter13Section,56,27,24,133
Sevelamer,41,23,14,95
PrimarySeizure,6157,5834,318,30321
PathologicalHypocapnia,6186,5857,324,30426
Campylobacter,245,154,86,737
RocuroniumBromide,42,24,14,98
ZygomaticusMajorMuscle,6134,5813,316,30232
PulpOfRingFinger,6134,5813,316,30232
SevereHypertension,6157,5828,324,30305
IntramuscularRoute,6244,5923,316,30676
lessThan45Percent,19,15,0,44
Respirator,6262,5939,318,30747
astronomicalUnit,11,7,0,20
PharyngealPlexus,6135,5814,316,30237
OestradiolValerate,89,48,36,230
PatientOrganisation,12,8,0,23
Addiction,40,23,12,99
Doxycycline,74,33,36,174
AzatadineMaleate,41,23,14,95
TransportByDestinationOrOrigin,71,34,32,180
Rizatriptan,41,23,14,95
AcuteRenalFailure,6272,5937,330,30787
StoneInRenalPelvis,6144,5823,316,30274
GallamineTriethiodide,42,24,14,98
SupraPubicRegion,53,33,16,140
Ammonium,30,16,10,66
PregnancyTest,66,29,32,158
CysticContents,134,71,58,360
SimpsonsForceps,329,208,116,1003
LateralFlexion,17,12,0,36
InterphalangealJointOfThumb,6134,5813,316,30232
XenograftHeart,6184,5859,320,30416
Jealousy,146,89,52,403
Frontalis,6134,5813,316,30232
DivisionOfMediastinum,6134,5813,316,30232
TwelveLeadElectrocardiographDevice,6153,5830,318,30297
DeformingProcess,39,22,12,95
LeishmaniaMexicana,122,77,40,372
AcuteIntermittentPorphyria,6731,6388,338,32731
VibrioCholeraeO1ElTor,246,155,86,739
AppendicularVein,6135,5814,316,30236
TissueCell,6134,5813,316,30232
AdrenalTumour,6173,5850,318,30386
KussmaulKienRespiration,6257,5936,316,30730
TubalPoleOfOvary,6146,5825,316,30278
DamagingProcess,13,8,0,24
PathologicalCystOfThyroglossalTract,6134,5813,316,30232
Computer,61,28,28,149
SecondaryInteractionFeature,15,10,0,31
ExternalObliqueMuscleOfAbdomen,6134,5813,316,30232
GenicularNerve,6137,5816,316,30250
DorsalArteryOfPenis,6134,5813,316,30232
IneffectiveBiliaryExcretion,6266,5933,328,30773
RotorSyndrome,6226,5893,328,30577
InfectiveArthropathy,6160,5839,316,30335
MechanicalObstructionToDelivery,73,40,28,197
TunicaIntima,58,32,22,138
DiploidKaryotype,40,22,14,95
Auricle,113,70,38,325
RubiVirus,76,45,26,199
NonNormallyLargeTestis,6231,5900,326,30601
StemCell,70,35,30,179
CommonCarotidArtery,6134,5813,316,30232
LevatorPalpebraeSuperiorisMuscle,6134,5813,316,30232
MivacuriumChloride,41,23,14,95
RaisedPlateletCount,6167,5836,326,30348
AnthracyclineGroup,31,17,10,70
ApicalLeftHeartVentricle,6134,5813,316,30232
BarleyPlant,81,50,26,213
NitrousOxide,41,23,14,95
EthacrynicAcid,41,23,14,95
RickettsiaProwazeki,111,66,40,306
PiaMater,6134,5813,316,30232
HistidineAsDrug,46,28,14,113
PlexusHaemorrhoidalisSuperior,6135,5814,316,30237
Hyperammonaemia,6187,5858,324,30429
SurgicalLengthIncreasing,57,28,24,137
NonNormallyLargeBreastSymptom,6231,5900,326,30601
NasalSurgery,6173,5844,324,30368
DeliveryProcess,297,186,106,903
PovidoneIodine,41,23,14,95
ArterialBranch,6134,5813,316,30232
Heparinoid,41,23,14,95
LoweredSerumCalciumConcentration,6210,5877,328,30513
MedialTubercleOfTalus,6138,5817,316,30248
VenousPlasma,6134,5813,316,30232
AdrenocorticalFunction,6134,5813,316,30232
GlossopalatineSalivaryGland,6135,5814,316,30235
UroporphyrinSynthesis,53,24,24,126
HeartChamber,6134,5813,316,30232
Effervescing,78,35,38,195
DigitalNerveSupplyingDorsalAspectOfRadialBorderOfIndexFinger,6134,5813,316,30232
SerumSodiumTest,6250,5913,332,30677
TransfusionMedicine,17,13,0,39
IdoxuridineInDimethylSulphoxide,41,23,14,95
ChromosomeSet,38,20,14,89
AnserinePlexus,6135,5814,316,30238
Dextran110,41,23,14,95
Erbium,34,20,10,79
ParoxysmalAtrialTachycardia,6272,5939,328,30770
SublingualGland,6134,5813,316,30232
CardiacMassage,6136,5815,316,30239
TogaVirus,76,45,26,199
Terpineol,41,23,14,95
LipidProfileTests,6233,5900,328,30619
FoetalBodyPart,277,172,100,832
Concentration,12,8,0,24
AngerOrPlacidity,146,89,52,403
ClubbingOfDigitSign,152,95,52,447
AnteriorEthmoidSinus,6134,5813,316,30232
Propylparaben,41,23,14,95
TreponemaGenitalis,239,150,84,718
HumanTCellLymphomaVirusI,78,47,26,207
EmulsifyingWax,39,21,14,88
AirwayObstruction,174,107,62,546
BirdFancierRole,11,7,0,20
LithiumCitrate,47,29,14,117
IntracranialSegmentOfVertebralArtery,6135,5814,316,30235
InferiorUlnarCollateralArtery,6135,5814,316,30235
Fluorometholone,74,33,36,174
VisualAcuity,6139,5816,318,30248
GenitoUrinaryExamination,76,39,32,192
FatEmbolism,6147,5826,316,30287
IntrauterineBodyPositionState,14,10,0,30
SymbolicValueType,5,1,0,2
RaisedSerumSodiumConcentration,6207,5874,328,30500
PathologyOfExternalGenitalia,144,89,50,426
VitaminBTDeficiencyState,138,79,54,390
AmphotericinColloidal,75,34,36,177
Acetylcysteine,41,23,14,95
AxialPlane,66,31,30,164
GastricPain,6231,5910,316,30634
Temafloxacin,41,23,14,95
Azotaemia,6369,6032,332,31190
TendonOfPalmarisLongus,6134,5813,316,30232
FifthTarsoMetatarsalJoint,6134,5813,316,30232
Myxobdella,122,77,40,370
unvarying,18,13,0,40
LownGanongLevineSyndrome,6193,5858,330,30437
IntranasalRoute,6244,5923,316,30676
ToeJointExamination,6275,5954,316,30807
Rhizoctonia,114,69,40,315
Apnoea,6274,5945,324,30783
FirstThoracicVertebra,6134,5813,316,30232
AngularGyrus,6135,5814,316,30235
superficialSelection,15,11,0,32
Enophthalmos,6137,5816,316,30244
Conception,277,172,100,832
Lecanicephalidea,124,79,40,377
Molybdenum,34,20,10,79
LymphoproliferativeDisorder,6176,5853,318,30396
ProcessPhase,10,5,0,15
AbdominalLymphnode,6134,5813,316,30232
Nectarine,59,33,22,141
SocioPoliticalOrganisation,12,8,0,23
BouveretHoffmanSyndrome,47,26,16,123
Meningocoele,6154,5833,316,30311
HydrocortisoneAcetate,78,37,36,189
longPlateauPhase,17,13,0,39
WholeOfSkinOfNeck,6135,5814,316,30235
DihydrocodeineTartrate,77,36,36,185
OrganRejectionProcess,54,27,22,128
TissueCellMorphology,6140,5817,318,30251
Desferrioxamine,41,23,14,95
Crushing,14,9,0,27
NAMEDSphincter,6134,5813,316,30232
DornaseAlfa,41,23,14,95
PyloricAntrum,6134,5813,316,30232
Leucine,41,23,14,95
SorbitanStearate,40,22,14,91
ComponentOfMajorBodyDivision,101,54,42,272
ResourceManagementProcess,11,6,0,18
SodiumPicosulphate,85,40,40,213
aThird,14,10,0,30
ChlamydiaTrachomatis,111,66,40,306
MethionineAsDrug,46,28,14,113
CysteineDeposition,64,31,28,153
CaudaEquina,6134,5813,316,30232
Nobelium,30,16,10,66
secondaryAcquisitionState,16,12,0,36
InferiorBorderOfRib,6134,5813,316,30232
BroadBean,60,34,22,144
CervicalMeningealSpace,6134,5813,316,30232
IncisiveCanal,6134,5813,316,30232
FourthRib,6134,5813,316,30232
RecurrentUrinaryTractInfection,6163,5842,316,30346
PharmacodynamicProcess,13,8,0,24
PerioralParaesthesia,6148,5827,316,30293
GlansPenisUrethra,6134,5813,316,30232
Curette,44,25,14,103
MandelicAcid,41,23,14,95
HilarRegionOfLung,6134,5813,316,30232
GaseousRemovingProcess,13,8,0,24
CavityOfHeartVentricle,6134,5813,316,30232
TrisomicKaryotype,41,23,14,98
Protoctista,73,42,26,189
PenilePathology,6134,5813,316,30232
RightVentricularOutflowTract,6138,5817,316,30248
Permeability,13,9,0,27
